epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2753.25,2.00422,2.84976,1.02499,0.40773,0.24695,0.20175,0.10151,1.9646,2.28207,0.99353,0.000663551,0.000663551,0.000663551
2,5423.06,2.02529,2.02546,1.01357,0.45066,0.23641,0.22847,0.10757,2.12497,2.35642,1.08522,0.00111073,0.00111073,0.00111073
3,9239.9,1.98592,1.78301,0.99598,0.49867,0.26135,0.26184,0.12988,1.99191,1.61094,1.01046,0.00133791,0.00133791,0.00133791
4,12966.3,1.91847,1.57972,0.97182,0.55037,0.2996,0.30743,0.1529,1.91246,1.48535,0.97529,0.000812,0.000812,0.000812
5,15604.9,1.8069,1.45302,0.95916,0.54761,0.31502,0.32257,0.16628,1.86152,1.4133,0.97283,0.000416,0.000416,0.000416
